排出年,特定排出者コード,事業者・事業所名,区分,業種,所在地,温室効果ガス算定排出量(tCO2)
year,code,name,type,sector,location,tCO2
2023,380061157,福島印刷株式会社,特定事業所排出者,印刷・同関連業,石川県金沢市,4436
2023,65042865,株式会社ヴィレッジヴァンガード,特定事業所排出者,各種商品小売業,愛知県名古屋市,4402
2023,530019231,株式会社ノザワ,特定荷主,窯業・土石製品製造業,兵庫県神戸市,4386
2023,985670407,新日本電工株式会社,特定荷主,鉄鋼業,東京都中央区,4354
2023,580028425,石原産業株式会社,特定荷主,化学工業,大阪府大阪市,4338
2023,580349898,住友精化株式会社,特定荷主,化学工業,大阪府大阪市,4330
2023,400072421,株式会社ダイセキ,特定荷主,廃棄物処理業,愛知県名古屋市,4292
2023,981596419,白銅株式会社,特定事業所排出者,建築材料，鉱物・金属材料等卸売業,東京都千代田区,4292
2023,10224240,総合商研株式会社,特定事業所排出者,印刷・同関連業,北海道札幌市,4291
2023,985817106,持田製薬株式会社,特定事業所排出者,化学工業,東京都新宿区,4253
2023,870047532,株式会社肥後銀行,特定事業所排出者,銀行業,熊本県熊本市,4224
2023,960324570,株式会社シルバーライフ,特定事業所排出者,飲食料品小売業,東京都新宿区,4219
2023,850041077,株式会社ヤマックス,特定事業所排出者,窯業・土石製品製造業,熊本県熊本市,4217
2023,985210944,株式会社サトー,特定事業所排出者,業務用機械器具製造業,東京都港区,4170
2023,380090293,高松機械工業株式会社,特定事業所排出者,生産用機械器具製造業,石川県白山市,4148
2023,540046358,多木化学株式会社,特定荷主,化学工業,兵庫県加古川市,4129
2023,800278024,株式会社きょくとう,特定事業所排出者,洗濯・理容・美容・浴場業,福岡県福岡市,4095
2023,580509104,株式会社ミルボン,特定事業所排出者,化学工業,東京都中央区,4087
2023,985861507,理想科学工業株式会社,特定事業所排出者,業務用機械器具製造業,東京都港区,4084
2023,351013055,株式会社ソシオネクスト,特定事業所排出者,技術サービス業（他に分類されないもの）,神奈川県横浜市,4076
2023,985347402,住友ベークライト株式会社,特定荷主,プラスチック製品製造業（別掲を除く）,東京都品川区,4064
2023,985724259,不二ラテックス株式会社,特定事業所排出者,ゴム製品製造業,東京都千代田区,4039
2023,810283832,株式会社リーガロイヤルホテル小倉,特定事業所排出者,宿泊業,福岡県北九州市,4021
2023,130000407,株式会社岩手銀行,特定事業所排出者,銀行業,岩手県盛岡市,4018
2023,200429230,イリソ電子工業株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,神奈川県横浜市,4014
2023,581926326,株式会社ＴＶＥ,特定事業所排出者,はん用機械器具製造業,兵庫県尼崎市,3954
2023,985630401,日東製網株式会社,特定事業所排出者,繊維工業,広島県福山市,3926
2023,988389818,株式会社早稲田アカデミー,特定事業所排出者,その他の教育，学習支援業,東京都豊島区,3914
2023,610197711,株式会社テイツー,特定事業所排出者,その他の小売業,岡山県岡山市,3877
2023,580651103,株式会社千趣会,特定荷主,その他の小売業,大阪府大阪市,3866
2023,580038181,株式会社酉島製作所,特定事業所排出者,はん用機械器具製造業,大阪府高槻市,3863
2023,580005529,株式会社栗本鐵工所,特定荷主,鉄鋼業,大阪府大阪市,3850
2023,280029943,株式会社山梨中央銀行,特定事業所排出者,銀行業,山梨県甲府市,3840
